rpm,voltage,statorCurrent,supplyCurrent,closedLoopError,distance,made,pressDuration,shotsInBurst
2405.15625,5.15,1.6600000000000001,0.7000000000000001,-55.15625,1.0452502554307714,true,0.0,0
2412.1875,5.24,2.58,0.5,-62.1875,1.0445692443068433,true,0.0,0
2413.59375,4.93,3.74,1.68,-63.59375,1.04443391246249,true,0.0,0
2417.34375,5.17,3.18,1.32,-67.34375,1.0446296846999146,true,0.0,0
2425.4296875,4.99,2.82,1.26,-75.4296875,1.045259278370058,true,0.0,0
2379.9609375,5.23,4.62,2.08,-29.9609375,1.0444947981721295,true,0.0,0
2166.328125,5.48,2.96,1.34,183.671875,1.0449717025563798,true,0.0,0
2386.40625,4.93,4.46,1.9000000000000001,-36.40625,1.0448093085665664,true,0.0,0
2418.75,5.3,3.7,1.6400000000000001,-68.75,1.0444221962790425,true,0.0,0
2449.8046875,4.95,4.16,1.84,-99.8046875,1.0445072215638713,true,0.0,0
2412.5390625,5.08,1.84,0.76,-62.5390625,1.0442169379934012,true,0.0,0
2414.0625,5.17,4.2,1.76,-64.0625,1.0440886082410383,true,0.0,0
2240.5078125,6.0,4.84,2.2,109.4921875,1.044666368947293,true,0.0,0
2381.71875,5.16,3.4,1.5,-31.71875,1.3319370762778067,true,0.0,0
2435.390625,5.04,4.96,2.1,-85.390625,1.4044330539408376,true,0.0,0
2420.390625,5.22,4.44,1.98,-70.390625,1.4049038249698782,true,0.0,0
2375.390625,4.9,4.0600000000000005,1.82,-25.390625,1.4055875873484065,true,0.0,0
2399.8828125,4.94,4.5,1.8800000000000001,-49.8828125,1.4055348046113547,true,0.0,0
2419.3359375,5.15,3.2800000000000002,1.48,-69.3359375,1.4052697032618373,true,0.0,0
2450.2734375,4.9,4.38,1.94,-100.2734375,1.4051149365687452,true,0.0,0
2436.2109375,5.13,1.8,0.76,-86.2109375,1.406028543120869,true,0.0,0
2397.1875,4.83,4.26,1.9000000000000001,-47.1875,1.4059469825697912,true,0.0,0
2377.734375,5.74,5.36,2.44,-27.734375,1.4063354627993665,true,0.0,0
2420.625,4.8100000000000005,4.2,1.72,-70.625,1.4053349742068815,true,0.0,0
2410.1953125,4.73,3.08,1.3800000000000001,-60.1953125,1.4058426014759067,true,0.0,0
2400.46875,4.95,4.88,2.12,-50.46875,1.4063964404468612,true,0.0,0
2380.8984375,5.08,4.0600000000000005,1.84,-30.8984375,1.4056494304899174,true,0.0,0
2348.5546875,5.54,4.0600000000000005,1.84,1.4453125,1.4066239327100658,true,0.0,0
2412.1875,5.16,3.9,1.6600000000000001,-62.1875,1.4058423966219447,true,0.0,0
2441.25,4.94,3.56,1.6,-91.25,1.4054696345960869,true,0.0,0
2448.28125,4.99,4.94,2.14,-98.28125,1.4057973223269857,true,0.0,0
2442.7734375,4.92,1.06,0.48,-92.7734375,1.4054400658278048,true,0.0,0
2591.1328125,5.54,3.24,1.48,-91.1328125,1.6740694286265059,true,0.0,0
2545.1953125,5.3100000000000005,4.66,2.24,-45.1953125,1.6773448114815508,true,0.0,0
2620.4296875,5.17,2.08,0.92,-120.4296875,1.6756070976693518,true,0.0,0
2600.625,5.34,1.78,0.8200000000000001,-100.625,1.6773448114815508,true,0.0,0
2562.421875,5.57,4.16,2.02,-62.421875,1.6757108847310074,true,0.0,0
2540.15625,5.29,2.96,1.34,-40.15625,1.6774680800537851,true,0.0,0
2591.25,5.5,4.7,2.36,-91.25,1.6787684431840069,true,0.0,0
2594.8828125,5.5200000000000005,4.18,1.8800000000000001,-94.8828125,1.677299875370067,true,0.0,0
2527.3828125,5.71,2.94,1.46,-27.3828125,1.677248779908013,true,0.0,0
2603.5546875,5.7700000000000005,2.14,1.0,-103.5546875,1.6770367674164122,true,0.0,0
2569.5703125,5.36,4.24,1.9000000000000001,-69.5703125,1.675949097396334,true,0.0,0
2545.78125,5.21,0.44,0.2,-45.78125,1.676943321650496,true,0.0,0
2568.046875,5.0600000000000005,3.86,1.84,-68.046875,1.6789161078697035,true,0.0,0
2588.203125,5.1000000000000005,3.66,1.72,-88.203125,1.6783834424696447,true,0.0,0
2553.046875,5.51,2.72,1.34,-53.046875,1.6794052339108654,true,0.0,0
2636.1328125,5.65,3.66,1.6600000000000001,-86.1328125,1.8841956626673546,true,0.0,0
2868.3984375,5.64,4.48,2.22,-118.3984375,1.8831754431711334,true,0.0,0
2851.171875,5.9,4.48,2.22,-101.171875,1.885641009469426,true,0.0,0
2758.4765625,5.79,24.02,15.4,-8.4765625,1.8848315317284217,true,0.0,0
2838.75,5.57,2.02,1.06,-88.75,1.8850170216590219,true,0.0,0
2831.484375,5.63,2.02,1.06,-81.484375,1.8841326875463251,true,0.0,0
2637.5390625,5.3,4.4,2.06,-87.5390625,1.8865246441742416,true,0.0,0
2638.59375,5.26,4.36,2.18,-88.59375,1.8931887068207014,true,0.0,0
2633.203125,5.4,3.66,1.76,-83.203125,1.8850506416750104,true,0.0,0
2598.3984375,5.32,3.92,1.82,-48.3984375,1.8842882996581296,true,0.0,0
2529.4921875,5.7700000000000005,3.7800000000000002,1.84,20.5078125,1.8830961553737366,true,0.0,0
2600.15625,5.65,4.34,2.1,-50.15625,1.884451968672804,true,0.0,0
2593.7109375,5.45,4.34,2.1,-43.7109375,1.8867515122360683,true,0.0,0
2617.265625,5.46,5.1000000000000005,2.48,-67.265625,1.8850506416750104,true,0.0,0
2609.8828125,5.26,3.34,1.62,-59.8828125,1.8844128564687606,true,0.0,0
2615.5078125,5.5,3.34,1.62,-65.5078125,1.8844508844873717,true,0.0,0
2556.9140625,5.68,3.2800000000000002,1.54,-6.9140625,1.8849993729166448,true,0.0,0
2595.3515625,5.5200000000000005,3.7800000000000002,1.8800000000000001,-45.3515625,1.884541032063893,true,0.0,0
2676.4453125,5.32,2.98,1.36,-126.4453125,1.8839427407649583,true,0.0,0
2421.09375,5.55,3.86,1.94,128.90625,1.8822866849862019,true,0.0,0
2598.28125,5.5600000000000005,3.92,1.9000000000000001,-48.28125,1.8844978791402587,true,0.0,0
2592.5390625,5.3100000000000005,2.5,1.18,-42.5390625,1.882981137880792,true,0.0,0
2583.984375,5.6000000000000005,2.72,1.34,-33.984375,1.8832849157900005,true,0.0,0
